id;year;type_of_violence;conflict_name;latitude;longitude;country;region;date_start;date_end
64991;2011;1;Spain:Basque;43,260919;-2,938764;Spain;Europe;2011-11-07;2011-11-07
66561;2011;1;United Kingdom:Northern Ireland;54,6;-7,3;United Kingdom;Europe;2011-04-02;2011-04-02
156154;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-01-17;2011-01-17
156157;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-01-20;2011-01-20
156162;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-01-25;2011-01-25
156259;2011;1;Azerbaijan:Nagorno-Karabakh;40,5;47,5;Azerbaijan;Europe;2011-03-08;2011-03-08
156260;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-03-10;2011-03-10
156261;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-02-20;2011-02-20
156262;2011;1;Azerbaijan:Nagorno-Karabakh;40;46,583333;Azerbaijan;Europe;2011-03-17;2011-03-17
156263;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-03-22;2011-03-22
156264;2011;1;Azerbaijan:Nagorno-Karabakh;40,5;47,5;Azerbaijan;Europe;2011-04-24;2011-05-01
156265;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-05-11;2011-05-11
156266;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-05-20;2011-05-20
156267;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-05-22;2011-05-22
156268;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-06-03;2011-06-03
156270;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-07-29;2011-07-29
156272;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-10-05;2011-10-05
156273;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-10-05;2011-10-05
156274;2011;1;Azerbaijan:Nagorno-Karabakh;39,983611;46,928611;Azerbaijan;Europe;2011-10-11;2011-10-11
156275;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-11-19;2011-11-19
156276;2011;1;Azerbaijan:Nagorno-Karabakh;40,5;47,5;Azerbaijan;Europe;2011-11-02;2011-11-02
156277;2011;1;Azerbaijan:Nagorno-Karabakh;40;47;Azerbaijan;Europe;2011-11-26;2011-11-26
189770;2011;1;Russia (Soviet Union):Caucasus Emirate;43,2684;46,9169;Russia (Soviet Union);Europe;2011-05-26;2011-05-26
189840;2011;1;Russia (Soviet Union):Caucasus Emirate;43,3058;45,7477;Russia (Soviet Union);Europe;2011-01-01;2011-01-31
189842;2011;1;Russia (Soviet Union):Caucasus Emirate;42,9849;47,5046;Russia (Soviet Union);Europe;2011-01-11;2011-01-14
189843;2011;3;Forces of the Caucasus Emirate - Civilians;43,7114;44,8061;Russia (Soviet Union);Europe;2011-01-01;2011-05-31
189844;2011;3;Forces of the Caucasus Emirate - Civilians;43,4976;43,5538;Russia (Soviet Union);Europe;2011-01-03;2011-01-03
189845;2011;1;Russia (Soviet Union):Caucasus Emirate;42,9849;47,5046;Russia (Soviet Union);Europe;2011-01-04;2011-01-04
189846;2011;1;Russia (Soviet Union):Caucasus Emirate;43,2505;46,5851;Russia (Soviet Union);Europe;2011-01-05;2011-01-05
189847;2011;1;Russia (Soviet Union):Caucasus Emirate;43,318;45,6982;Russia (Soviet Union);Europe;2011-01-09;2011-01-09
