ADM1_EN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Autonomous Republic of Crimea,-1,-1,-1,-1,-1,-1,44536,46393,-1,-1,-1
Vinnytska,-1,-1,-1,-1,-1,-1,33024,36191,43990,59871,74411
Volynska,-1,-1,-1,-1,-1,-1,20005,20622,24195,31688,35744
Dnipropetrovska,-1,-1,-1,-1,-1,-1,147970,152905,176540,215206,244478
Donetska,-1,-1,-1,-1,-1,-1,170775,164926,119983,115012,137500
Zhytomyrska,-1,-1,-1,-1,-1,-1,24849,25676,29815,38425,47919
Zakarpatska,-1,-1,-1,-1,-1,-1,21404,21400,24120,28952,32390
Zaporizka,-1,-1,-1,-1,-1,-1,54828,54352,65968,89061,104323
Ivano-Frankivska,-1,-1,-1,-1,-1,-1,32286,33196,37643,45854,51404
Kyivska,-1,-1,-1,-1,-1,-1,69663,68931,79561,104030,128638
Kirovohradska,-1,-1,-1,-1,-1,-1,22056,25313,28758,38447,46021
Luhanska,-1,-1,-1,-1,-1,-1,58767,55108,31393,23849,31356
Lvivska,-1,-1,-1,-1,-1,-1,61962,63329,72923,94690,114842
Mykolaivska,-1,-1,-1,-1,-1,-1,29205,32030,35408,48195,57815
Odeska,-1,-1,-1,-1,-1,-1,64743,69760,74934,99761,119800
Poltavska,-1,-1,-1,-1,-1,-1,56580,58464,69831,95867,116272
Rivnenska,-1,-1,-1,-1,-1,-1,21795,22004,28724,35252,39469
Sumska,-1,-1,-1,-1,-1,-1,24933,26765,30397,41567,46287
Ternopilska,-1,-1,-1,-1,-1,-1,17957,18085,21676,26656,31072
Kharkivska,-1,-1,-1,-1,-1,-1,82223,85315,96596,124843,154871
Khersonska,-1,-1,-1,-1,-1,-1,19357,20767,23250,32215,38743
Khmelnytska,-1,-1,-1,-1,-1,-1,26237,26426,32162,41088,48859
Cherkaska,-1,-1,-1,-1,-1,-1,31265,33087,38466,50843,59412
Chernivetska,-1,-1,-1,-1,-1,-1,13166,13757,15049,18506,21239
Chernihivska,-1,-1,-1,-1,-1,-1,23934,24237,28156,36966,43362
Kyiv,-1,-1,-1,-1,-1,-1,275685,312552,357377,451700,559140
Sevastopol,-1,-1,-1,-1,-1,-1,9891,11066,-1,-1,-1
