"DATE","PRCP","TMAX","TMIN","RAIN"
"1948-01-01",0.47,51,42,"TRUE"
"1948-01-02",0.59,45,36,"TRUE"
"1948-01-03",0.42,45,35,"TRUE"
"1948-01-04",0.31,45,34,"TRUE"
"1948-01-05",0.17,45,32,"TRUE"
"1948-01-06",0.44,48,39,"TRUE"
"1948-01-07",0.41,50,40,"TRUE"
"1948-01-08",0.04,48,35,"TRUE"
"1948-01-09",0.12,50,31,"TRUE"
"1948-01-10",0.74,43,34,"TRUE"
"1948-01-11",0.01,42,32,"TRUE"
"1948-01-12",0,41,26,"FALSE"
"1948-01-13",0,45,29,"FALSE"
"1948-01-14",0,38,26,"FALSE"
"1948-01-15",0,34,31,"FALSE"
"1948-01-16",0,34,28,"FALSE"
"1948-01-17",0,35,29,"FALSE"
"1948-01-18",0,33,28,"FALSE"
"1948-01-19",0,34,27,"FALSE"
"1948-01-20",0,36,29,"FALSE"
"1948-01-21",0,48,32,"FALSE"
"1948-01-22",0.21,47,44,"TRUE"
"1948-01-23",0,47,43,"FALSE"
"1948-01-24",0.1,45,34,"TRUE"
"1948-01-25",0,46,30,"FALSE"
"1948-01-26",0,45,32,"FALSE"
"1948-01-27",0,53,33,"FALSE"
"1948-01-28",0,53,25,"FALSE"
"1948-01-29",0.22,42,34,"TRUE"
"1948-01-30",0.03,47,30,"TRUE"
"1948-01-31",0.21,35,27,"TRUE"
"1948-02-01",0.03,39,30,"TRUE"
"1948-02-02",0,43,26,"FALSE"
"1948-02-03",0.2,38,26,"TRUE"
"1948-02-04",0.14,39,31,"TRUE"
"1948-02-05",0,36,26,"FALSE"
"1948-02-06",0,43,20,"FALSE"
"1948-02-07",0.06,43,27,"TRUE"
"1948-02-08",0.56,44,35,"TRUE"
"1948-02-09",0,45,32,"FALSE"
"1948-02-10",0,39,27,"FALSE"
"1948-02-11",0,46,23,"FALSE"
"1948-02-12",0,43,26,"FALSE"
"1948-02-13",0,47,35,"FALSE"
"1948-02-14",0.5,46,39,"TRUE"
"1948-02-15",0.35,45,37,"TRUE"
"1948-02-16",0.84,52,37,"TRUE"
"1948-02-17",0.13,57,46,"TRUE"
"1948-02-18",0.01,49,32,"TRUE"
"1948-02-19",0,45,30,"FALSE"
"1948-02-20",0.74,45,35,"TRUE"
"1948-02-21",0.46,49,37,"TRUE"
"1948-02-22",0.11,47,38,"TRUE"
"1948-02-23",0,47,36,"FALSE"
"1948-02-24",0.05,44,36,"TRUE"
"1948-02-25",0.98,47,41,"TRUE"
